feature,importance,rank,cumulative_importance,category
rms_var,0.11430617069017128,1,0.11430617069017128,Dynamic
rms_std,0.10750116209306979,2,0.22180733278324105,Dynamic
mfcc_5_mean,0.06367201926703672,3,0.28547935205027775,Timbral (MFCC)
spectral_centroid_mean,0.055387966698127136,4,0.34086731874840487,Spectral/Timbral
chroma_stft_std,0.05321887395700919,5,0.39408619270541406,Harmonic
rms_mean,0.04385672488008779,6,0.43794291758550186,Dynamic
onset_strength_std,0.03665499648679607,7,0.4745979140722979,Rhythmic
mfcc_12_mean,0.0358980723683421,8,0.51049598644064,Timbral (MFCC)
zero_crossing_rate_mean,0.03498004570306126,9,0.5454760321437012,Other
mfcc_1_mean,0.033083249939106635,10,0.5785592820828078,Timbral (MFCC)
chroma_stft_var,0.032405647704461554,11,0.6109649297872694,Harmonic
spectral_rolloff_mean,0.028704436054039703,12,0.6396693658413091,Spectral/Timbral
spectral_bandwidth_mean,0.02447343171593852,13,0.6641427975572476,Spectral/Timbral
spectral_flatness_mean,0.023857298036399438,14,0.688000095593647,Spectral/Timbral
mfcc_8_mean,0.01969301140770604,15,0.7076931070013531,Timbral (MFCC)
mfcc_delta2_std,0.018270691822574438,16,0.7259637988239276,Timbral (MFCC)
crest_factor,0.01638620786618919,17,0.7423500066901167,Dynamic
zero_crossing_rate_std,0.014881803760237544,18,0.7572318104503543,Other
spectral_flatness_std,0.012247743649047826,19,0.769479554099402,Spectral/Timbral
mfcc_delta_std,0.011520709276270776,20,0.7810002633756729,Timbral (MFCC)
onset_strength_mean,0.009434130390972705,21,0.7904343937666456,Rhythmic
repetition_score,0.008654923828647361,22,0.799089317595293,Structural
self_similarity_std,0.007781125844306858,23,0.8068704434395999,Structural
tonnetz_std,0.007689102608457157,24,0.814559546048057,Harmonic
mfcc_8_std,0.007563947004395928,25,0.8221234930524529,Timbral (MFCC)
mfcc_7_mean,0.007417773736961276,26,0.8295412667894142,Timbral (MFCC)
spectral_contrast_mean,0.007285919001156584,27,0.8368271857905708,Spectral/Timbral
ioi_mean,0.007273820544099609,28,0.8441010063346704,Rhythmic
percussive_ratio,0.0071921579228417295,29,0.8512931642575122,Spectral/Timbral
harmonic_ratio,0.006883822546123579,30,0.8581769868036359,Spectral/Timbral
spectral_rolloff_std,0.0068541779689477896,31,0.8650311647725837,Spectral/Timbral
mfcc_10_mean,0.006556301010358038,32,0.8715874657829418,Timbral (MFCC)
ioi_cv,0.0064380345717095526,33,0.8780255003546513,Rhythmic
self_similarity_mean,0.006396341828747772,34,0.8844218421833991,Structural
chroma_cqt_std,0.006283864336320594,35,0.8907057065197197,Harmonic
spectral_bandwidth_std,0.005928556939556906,36,0.8966342634592765,Spectral/Timbral
chroma_cqt_mean,0.005919568747569979,37,0.9025538322068465,Harmonic
mfcc_0_std,0.00577764351083395,38,0.9083314757176805,Timbral (MFCC)
mfcc_2_mean,0.005570313010149713,39,0.9139017887278302,Timbral (MFCC)
mfcc_4_mean,0.0055382055127983255,40,0.9194399942406286,Timbral (MFCC)
mfcc_delta_mean,0.005031454169612064,41,0.9244714484102406,Timbral (MFCC)
mfcc_3_mean,0.004775410031047402,42,0.9292468584412881,Timbral (MFCC)
spectral_centroid_var,0.004751993372759963,43,0.9339988518140481,Spectral/Timbral
mfcc_11_mean,0.004647005374594937,44,0.938645857188643,Timbral (MFCC)
mfcc_6_mean,0.004612196878417097,45,0.9432580540670601,Timbral (MFCC)
mfcc_delta2_mean,0.004261031897546457,46,0.9475190859646065,Timbral (MFCC)
chroma_stft_mean,0.003999245960602782,47,0.9515183319252093,Harmonic
mfcc_12_std,0.0039477453161010445,48,0.9554660772413104,Timbral (MFCC)
spectral_centroid_std,0.003869324537654056,49,0.9593354017789645,Spectral/Timbral
mfcc_3_std,0.0038467467642668484,50,0.9631821485432314,Timbral (MFCC)
mfcc_9_std,0.003837363959383075,51,0.9670195125026144,Timbral (MFCC)
mfcc_9_mean,0.0035074035022787976,52,0.9705269160048933,Timbral (MFCC)
onset_density,0.0032819704043233464,53,0.9738088864092166,Rhythmic
mfcc_2_std,0.003191378721097414,54,0.977000265130314,Timbral (MFCC)
mfcc_0_mean,0.0031639504660099633,55,0.9801642155963239,Timbral (MFCC)
mfcc_1_std,0.0026262626262626267,56,0.9827904782225866,Timbral (MFCC)
mfcc_4_std,0.0023902483481430853,57,0.9851807265707296,Timbral (MFCC)
mfcc_5_std,0.002265951396432163,58,0.9874466779671618,Timbral (MFCC)
mfcc_7_std,0.0019891730889173343,59,0.9894358510560791,Timbral (MFCC)
spectral_contrast_std,0.001696243922990457,60,0.9911320949790696,Spectral/Timbral
mfcc_6_std,0.0016485915405332952,61,0.9927806865196029,Timbral (MFCC)
mfcc_10_std,0.0016292560661607244,62,0.9944099425857637,Timbral (MFCC)
ioi_std,0.0015651776908546882,63,0.9959751202766184,Rhythmic
mfcc_11_std,0.0013663825757575761,64,0.997341502852376,Timbral (MFCC)
tempo,0.0013610137273788597,65,0.9987025165797548,Rhythmic
tonnetz_mean,0.0012974834202455687,66,1.0000000000000004,Harmonic
dynamic_range_db,0.0,67,1.0000000000000004,Dynamic
