feature,importance
onset_density,0.11828617194248917
ioi_mean,0.08683869063238908
rms_mean,0.07160785431243592
ioi_std,0.06660027427209222
chroma_stft_std,0.0579592758773508
chroma_stft_var,0.051225323456522226
rms_var,0.04984328786509047
rms_std,0.044307653772180614
spectral_contrast_mean,0.024104491593480867
onset_strength_mean,0.021182183272033125
spectral_centroid_mean,0.01870555840374359
spectral_bandwidth_mean,0.018108076199388295
ioi_cv,0.016991913663579623
crest_factor,0.016188695348852825
spectral_rolloff_mean,0.016100052145844215
mfcc_4_mean,0.015569867530543059
chroma_cqt_mean,0.01433740674976802
mfcc_3_std,0.014227840814287946
spectral_bandwidth_std,0.013170858405390517
mfcc_4_std,0.013108635041008763
mfcc_1_mean,0.013048815326772182
tonnetz_std,0.012248378500422232
mfcc_2_mean,0.01212611543598601
chroma_cqt_std,0.010579738853382994
spectral_flatness_mean,0.010301914576141411
mfcc_2_std,0.009634087995222246
mfcc_12_std,0.008788606278439654
zero_crossing_rate_mean,0.008328054639346988
percussive_ratio,0.008255162106694634
tonnetz_mean,0.006811113461289105
mfcc_6_mean,0.0067879064728910985
spectral_contrast_std,0.0067825605851315595
harmonic_ratio,0.006667934427687986
mfcc_1_std,0.006568579103838723
mfcc_3_mean,0.006495391413117279
chroma_stft_mean,0.006443986888417944
mfcc_8_mean,0.006168646332849772
mfcc_5_std,0.005505949393185775
spectral_centroid_var,0.005202116230561135
spectral_rolloff_std,0.005154162197598301
onset_strength_std,0.005030647780007172
mfcc_5_mean,0.004945201806121724
mfcc_delta2_mean,0.004939610006420894
spectral_flatness_std,0.004882149141975401
spectral_centroid_std,0.004860456753228798
mfcc_0_std,0.004714323725515015
mfcc_8_std,0.004081214912230242
zero_crossing_rate_std,0.003818254246693482
mfcc_6_std,0.0037807110923184627
mfcc_delta2_std,0.003651303589538757
mfcc_10_mean,0.003597251425850372
mfcc_11_std,0.003556341150683195
mfcc_9_std,0.003543015945749154
mfcc_delta_mean,0.003352834141744779
mfcc_7_std,0.003347293841728549
self_similarity_std,0.00309511332738587
mfcc_12_mean,0.0029736659848172958
mfcc_10_std,0.002903320115751746
mfcc_7_mean,0.0026824353132323038
tempo,0.002582736593743261
mfcc_0_mean,0.0024974117363395524
mfcc_11_mean,0.0024422036750026328
repetition_score,0.0024063560766359082
self_similarity_mean,0.0021054971009356062
mfcc_9_mean,0.0019307495130738389
mfcc_delta_std,0.0019165694858276502
dynamic_range_db,0.0
