feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,f_statistic,f_pvalue,significant,ai_lower_variance,levene_p_fdr,significant_fdr
ioi_mean,0.04788716928388841,1.3902795136424126,0.03444427456060843,24.37929855704416,2.629763280107559e-06,0.03444427456060843,6.047295157919307e-28,True,True,5.8731379922402156e-05,True
ioi_std,0.06959214607950151,1.537928592307278,0.045250570428042994,14.25453385054117,0.0002515168445382272,0.045250570428042994,1.0477971134326485e-24,True,True,0.0020959814625036146,True
rms_var,0.10510875536978814,1.4703396825791972,0.0714860359243053,32.384334896718805,9.38152949444446e-08,0.0714860359243053,1.8434524918424995e-19,True,True,6.285624761277788e-06,True
rms_std,0.20322091129933212,1.3729564872172897,0.148017007961571,30.339810118525733,2.154935285536047e-07,0.148017007961571,7.701438408099239e-12,True,True,7.219033206545758e-06,True
rms_mean,0.24311938608668823,1.3132124148076916,0.18513332903747406,20.93901790612155,1.180240926717934e-05,0.18513332903747406,9.311882975013862e-10,True,True,0.00019769035522525396,True
spectral_contrast_mean,0.32375798191325467,1.524057257361848,0.21243163952624824,16.644037695622433,8.228815362521432e-05,0.21243163952624824,1.4815841427987996e-08,True,True,0.0007876151846984799,True
crest_factor,0.36811750186919595,1.6656074339970377,0.2210109623405119,6.5751683641716525,0.01159623645687721,0.2210109623405119,3.1955963846268655e-08,True,True,0.03884739213053866,True
spectral_flatness_std,0.3702587204902444,1.6591054607932567,0.2231676823685549,1.828687775922866,0.17886858203378292,0.2231676823685549,3.851014044013008e-08,False,True,0.2574460487809082,False
tonnetz_std,0.39561437749066775,1.3162386601986806,0.3005643197191545,19.05554465563641,2.738761106980841e-05,0.3005643197191545,7.837006483882056e-06,True,True,0.0003058283236128606,True
mfcc_1_mean,0.4047942103324213,1.3079269306245276,0.30949298531465697,10.297641370107632,0.0017155757308137181,0.30949298531465697,1.2635817216303034e-05,True,True,0.008210255283179936,True
spectral_centroid_var,0.49872679533060876,1.4589272296808262,0.3418448742229019,9.39964067838002,0.002690901019114538,0.3418448742229019,6.0000564223951904e-05,True,True,0.01060531578121612,True
onset_density,0.2730688255178983,0.7882640760266881,0.3464179503071164,19.69859529795853,2.051247771278615e-05,0.3464179503071164,7.332195028448703e-05,True,True,0.0002748672013513344,True
spectral_bandwidth_mean,0.45608571901391465,1.306508234810501,0.3490875195900058,12.658212262425458,0.0005395330510730624,0.3490875195900058,8.225657514995184e-05,True,True,0.003286246765626834,True
spectral_flatness_mean,0.5165084241147841,1.4578132483188615,0.35430356028827253,0.1754885374063186,0.6760408842314861,0.35430356028827253,0.00010253800364872824,False,True,0.7521958375350292,False
